type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-06-04 14:31:50,37.37659500,-121.91900167,2.30,-22.900,,0.411,232,22,32,20250604-073150,GPS Logger: 20250604-073150
T,2025-06-04 14:31:51,37.37659500,-121.91900167,2.20,-22.900,,0.393,263,22,32,,
T,2025-06-04 14:31:52,37.37660167,-121.91900833,2.20,-23.000,,0.325,271,21,32,,
T,2025-06-04 14:31:53,37.37660167,-121.91900833,2.20,-23.000,,0.307,93,21,32,,
T,2025-06-04 14:31:54,37.37660500,-121.91901000,2.20,-23.100,,0.000,,21,32,,
T,2025-06-04 14:31:55,37.37660667,-121.91901167,2.10,-23.100,,0.000,,21,32,,
T,2025-06-04 14:31:56,37.37660667,-121.91901333,2.10,-23.100,,0.000,,20,32,,
T,2025-06-04 14:31:57,37.37660667,-121.91901333,2.10,-23.100,,0.000,,20,32,,
T,2025-06-04 14:31:58,37.37660667,-121.91901333,2.10,-23.100,,0.000,,20,32,,
T,2025-06-04 14:31:59,37.37660667,-121.91901333,2.10,-23.100,,0.000,,20,32,,
T,2025-06-04 14:32:00,37.37660667,-121.91901333,2.10,-23.100,,0.000,,19,32,,
T,2025-06-04 14:32:01,37.37660667,-121.91901333,2.10,-23.100,,0.000,,19,32,,
T,2025-06-04 14:32:02,37.37660667,-121.91901333,2.10,-23.100,,0.000,,18,32,,
T,2025-06-04 14:32:03,37.37660667,-121.91901333,2.10,-23.100,,0.000,,18,32,,
T,2025-06-04 14:32:04,37.37660667,-121.91901333,2.10,-23.100,,0.000,,19,32,,
T,2025-06-04 14:32:05,37.37660667,-121.91901333,2.10,-23.100,,0.000,,20,32,,
T,2025-06-04 14:32:06,37.37660667,-121.91901333,2.10,-23.100,,0.000,,20,32,,
T,2025-06-04 14:32:07,37.37660667,-121.91901333,2.10,-23.100,,0.000,,19,32,,
T,2025-06-04 14:32:08,37.37660667,-121.91901333,2.10,-23.100,,0.000,,19,32,,
T,2025-06-04 14:32:09,37.37660667,-121.91901333,2.10,-23.100,,0.000,,20,32,,
T,2025-06-04 14:32:10,37.37660667,-121.91901333,2.10,-23.100,,0.000,,20,32,,
T,2025-06-04 14:32:11,37.37660667,-121.91901333,2.10,-23.100,,0.000,,20,32,,
T,2025-06-04 14:32:12,37.37660667,-121.91901333,2.20,-23.100,,0.000,,20,32,,
T,2025-06-04 14:32:13,37.37660667,-121.91901333,2.20,-23.100,,0.000,,19,32,,
T,2025-06-04 14:32:14,37.37660667,-121.91901333,2.20,-23.100,,0.000,,18,32,,
T,2025-06-04 14:32:15,37.37660667,-121.91901333,2.20,-23.100,,0.000,,19,32,,
T,2025-06-04 14:32:16,37.37660667,-121.91901333,2.20,-23.100,,0.000,,21,32,,
T,2025-06-04 14:32:17,37.37660667,-121.91901333,2.20,-23.100,,0.000,,21,32,,
